Order Date,Customer ID,Segment,Region,Category,Sub-Category,Sales,Quantity,Profit,Month,Profit Margin
,EH-13945,Consumer,West,Office Supplies,Binders,11.648,2,4.2224,,0.36250000000000004
,EH-13945,Consumer,West,Technology,Accessories,90.57,3,11.7741,,0.13
,TB-21520,Consumer,East,Furniture,Bookcases,3083.43,7,-1665.0522,,-0.54
,TB-21520,Consumer,East,Office Supplies,Binders,9.618,2,-7.0532,,-0.7333333333333334
,TB-21520,Consumer,East,Furniture,Furnishings,124.2,3,15.525,,0.125
,TB-21520,Consumer,East,Office Supplies,Envelopes,3.264,2,1.1016,,0.3375
,TB-21520,Consumer,East,Office Supplies,Art,86.304,6,9.7092,,0.11249999999999999
,TB-21520,Consumer,East,Office Supplies,Binders,6.858,6,-5.715,,-0.8333333333333334
,TB-21520,Consumer,East,Office Supplies,Art,15.76,2,3.546,,0.22499999999999998
,MA-17560,Home Office,Central,Office Supplies,Paper,29.472,3,9.9468,,0.33749999999999997
2016-12-08,GH-14485,Corporate,Central,Technology,Phones,1097.544,7,123.4737,2016-12,0.11249999999999999
2016-12-08,GH-14485,Corporate,Central,Furniture,Furnishings,190.92,5,-147.963,2016-12,-0.775
,SN-20710,Home Office,Central,Office Supplies,Envelopes,113.328,9,35.415,,0.3125
,SN-20710,Home Office,Central,Furniture,Bookcases,532.3992,3,-46.9764,,-0.08823529411764706
,SN-20710,Home Office,Central,Furniture,Chairs,212.058,3,-15.147,,-0.07142857142857144
,SN-20710,Home Office,Central,Technology,Phones,371.168,4,41.7564,,0.1125
2017-09-10,LC-16930,Corporate,Central,Technology,Phones,147.168,4,16.5564,2017-09,0.11249999999999999
,RA-19885,Corporate,West,Office Supplies,Storage,77.88,2,3.894,,0.05
,ES-14080,Corporate,South,Office Supplies,Storage,95.616,2,9.5616,,0.1
2016-03-11,ON-18715,Corporate,Central,Technology,Accessories,45.98,2,19.7714,2016-03,0.43000000000000005
2016-03-11,ON-18715,Corporate,Central,Office Supplies,Binders,17.46,2,8.2062,2016-03,0.47000000000000003
,PO-18865,Consumer,Central,Office Supplies,Storage,211.96,4,8.4784,,0.04
,LH-16900,Consumer,East,Technology,Accessories,45.0,3,4.95,,0.11
,LH-16900,Consumer,East,Technology,Phones,21.8,2,6.104,,0.27999999999999997
,DP-13000,Consumer,Central,Office Supplies,Binders,38.22,6,17.9634,,0.47000000000000003
,DP-13000,Consumer,Central,Office Supplies,Labels,75.18,6,35.3346,,0.47
,DP-13000,Consumer,Central,Furniture,Furnishings,6.16,2,2.9568,,0.48
,DP-13000,Consumer,Central,Furniture,Chairs,89.99,1,17.0981,,0.19
2016-12-11,JM-15265,Corporate,East,Office Supplies,Fasteners,15.26,7,6.2566,2016-12,0.41
2016-12-11,JM-15265,Corporate,East,Technology,Phones,1029.95,5,298.6855,2016-12,0.29
,TB-21055,Consumer,East,Office Supplies,Storage,208.56,6,52.14,,0.25
,TB-21055,Consumer,East,Office Supplies,Paper,32.4,5,15.552,,0.48
,TB-21055,Consumer,East,Furniture,Chairs,319.41,5,7.098,,0.02222222222222222
,TB-21055,Consumer,East,Office Supplies,Paper,14.56,2,6.9888,,0.48
,TB-21055,Consumer,East,Technology,Accessories,30.0,2,3.3,,0.11
,TB-21055,Consumer,East,Office Supplies,Binders,48.48,4,16.362,,0.33749999999999997
,TB-21055,Consumer,East,Office Supplies,Art,1.68,1,0.84,,0.5
,KM-16720,Consumer,West,Technology,Accessories,13.98,2,6.1512,,0.44
,KM-16720,Consumer,West,Office Supplies,Binders,25.824,6,9.3612,,0.3625
,KM-16720,Consumer,West,Office Supplies,Paper,146.73,3,68.9631,,0.47000000000000003
,KM-16720,Consumer,West,Furniture,Furnishings,79.76,4,22.3328,,0.27999999999999997
,PS-18970,Home Office,Central,Furniture,Chairs,213.115,5,-15.2225,,-0.07142857142857142
2014-12-05,BS-11590,Corporate,West,Office Supplies,Art,1113.024,8,111.3024,2014-12,0.10000000000000002
2014-12-05,BS-11590,Corporate,West,Technology,Phones,167.968,4,62.988,2014-12,0.375
2016-06-04,KD-16270,Consumer,South,Office Supplies,Paper,75.88,2,35.6636,2016-06,0.4700000000000001
,HM-14980,Consumer,East,Office Supplies,Binders,4.616,1,1.731,,0.37500000000000006
,TB-21520,Consumer,Central,Office Supplies,Paper,19.05,3,8.763,,0.45999999999999996
,JE-15745,Consumer,South,Furniture,Chairs,831.936,8,-114.3912,,-0.13749999999999998
,JE-15745,Consumer,South,Furniture,Furnishings,97.04,2,1.213,,0.0125
,JE-15745,Consumer,South,Office Supplies,Storage,72.784,1,-18.196,,-0.25
2017-12-09,KB-16600,Corporate,Central,Office Supplies,Binders,1.248,3,-1.9344,2017-12,-1.5499999999999998
2017-12-09,KB-16600,Corporate,Central,Furniture,Furnishings,9.708,3,-5.8248,2017-12,-0.6
2017-12-09,KB-16600,Corporate,Central,Office Supplies,Storage,27.24,3,2.724,2017-12,0.10000000000000002
,JE-15745,Consumer,Central,Furniture,Furnishings,19.3,5,-14.475,,-0.75
2016-06-12,SC-20770,Corporate,South,Office Supplies,Appliances,208.16,1,56.2032,2016-06,0.27
2016-06-12,SC-20770,Corporate,South,Office Supplies,Binders,16.74,3,8.0352,2016-06,0.48000000000000004
2014-10-12,DN-13690,Consumer,West,Office Supplies,Art,14.9,5,4.172,2014-10,0.27999999999999997
2014-10-12,DN-13690,Consumer,West,Office Supplies,Storage,21.39,1,6.2031,2014-10,0.29
2015-09-03,JC-16105,Corporate,South,Office Supplies,Envelopes,200.984,7,62.8075,2015-09,0.3125
,CS-12400,Home Office,Central,Office Supplies,Storage,230.376,3,-48.9549,,-0.2125
,PO-18865,Consumer,South,Furniture,Chairs,301.96,2,33.2156,,0.11000000000000001
,PG-18895,Consumer,Central,Technology,Accessories,19.99,1,6.7966,,0.34
,PG-18895,Consumer,Central,Office Supplies,Labels,6.16,2,2.9568,,0.48
2016-04-05,GM-14455,Home Office,Central,Office Supplies,Storage,158.368,7,13.8572,2016-04,0.08750000000000001
,JS-15685,Corporate,West,Office Supplies,Art,20.1,3,6.633,,0.32999999999999996
,JS-15685,Corporate,West,Technology,Phones,73.584,2,8.2782,,0.11249999999999999
,JS-15685,Corporate,West,Office Supplies,Paper,6.48,1,3.1104,,0.4799999999999999
,KB-16315,Consumer,Central,Office Supplies,Paper,12.96,2,6.2208,,0.4799999999999999
,KB-16315,Consumer,Central,Furniture,Furnishings,53.34,3,16.5354,,0.30999999999999994
,KB-16315,Consumer,Central,Office Supplies,Binders,32.96,2,16.1504,,0.49000000000000005
2017-11-06,RB-19705,Home Office,West,Office Supplies,Binders,5.682,1,-3.788,2017-11,-0.6666666666666666
2017-11-09,PN-18775,Home Office,East,Furniture,Furnishings,96.53,7,40.5426,2017-11,0.42
,KD-16345,Consumer,West,Office Supplies,Binders,51.312,3,17.9592,,0.35
2016-09-06,ER-13855,Corporate,Central,Office Supplies,Appliances,77.88,6,22.5852,2016-09,0.29000000000000004
,RB-19465,Home Office,Central,Office Supplies,Paper,64.624,7,22.6184,,0.35000000000000003
,RB-19465,Home Office,Central,Technology,Accessories,95.976,3,-10.7973,,-0.1125
,RB-19465,Home Office,Central,Office Supplies,Binders,1.788,3,-3.0396,,-1.7
2016-12-01,GZ-14470,Consumer,Central,Office Supplies,Paper,23.92,4,11.7208,2016-12,0.49
,LC-16870,Consumer,West,Technology,Accessories,238.896,6,-26.8758,,-0.11250000000000002
,LC-16870,Consumer,West,Furniture,Furnishings,102.36,3,-3.8385,,-0.0375
,LC-16870,Consumer,West,Office Supplies,Binders,36.882,3,-25.8174,,-0.7000000000000001
,JM-15250,Consumer,South,Technology,Accessories,74.112,8,17.6016,,0.23750000000000004
,JM-15250,Consumer,South,Technology,Phones,27.992,1,2.0994,,0.075
,JM-15250,Consumer,South,Office Supplies,Art,3.304,1,1.0738,,0.32500000000000007
,PA-19060,Home Office,Central,Technology,Accessories,339.96,5,67.992,,0.20000000000000004
,CV-12805,Corporate,East,Furniture,Furnishings,41.96,2,10.9096,,0.25999999999999995
2016-11-03,CL-12565,Consumer,Central,Office Supplies,Art,75.96,2,22.788,2016-11,0.30000000000000004
2016-11-03,CL-12565,Consumer,Central,Office Supplies,Binders,27.24,6,13.3476,2016-11,0.49000000000000005
,RC-19960,Consumer,East,Office Supplies,Fasteners,40.096,14,14.5348,,0.36250000000000004
,RC-19960,Consumer,East,Office Supplies,Envelopes,4.72,2,1.652,,0.35
,RC-19960,Consumer,East,Office Supplies,Paper,23.976,3,7.4925,,0.3125
,RC-19960,Consumer,East,Office Supplies,Envelopes,130.464,6,44.0316,,0.33749999999999997
2015-03-02,DK-13090,Consumer,West,Furniture,Tables,787.53,3,165.3813,2015-03,0.21000000000000002
2015-04-05,GG-14650,Corporate,South,Office Supplies,Binders,157.794,1,-115.7156,2015-04,-0.7333333333333333
2016-06-12,SC-20725,Consumer,East,Furniture,Furnishings,47.04,3,18.3456,2016-06,0.39
2016-06-12,SC-20725,Consumer,East,Office Supplies,Binders,30.84,4,13.878,2016-06,0.45
2016-06-12,SC-20725,Consumer,East,Office Supplies,Storage,226.56,6,63.4368,2016-06,0.27999999999999997
2016-06-12,SC-20725,Consumer,East,Office Supplies,Envelopes,115.02,9,51.759,2016-06,0.45
2016-06-12,SC-20725,Consumer,East,Technology,Phones,68.04,7,19.7316,2016-06,0.29
,AD-10180,Home Office,Central,Furniture,Chairs,600.558,3,-8.5794,,-0.014285714285714285
,PF-19165,Consumer,Central,Furniture,Tables,617.7,6,-407.682,,-0.66
2017-11-05,TS-21610,Consumer,West,Office Supplies,Binders,2.388,2,-1.8308,2017-11,-0.7666666666666667
2017-11-05,TS-21610,Consumer,West,Office Supplies,Storage,243.992,7,30.499,2017-11,0.125
2016-11-06,LS-16975,Home Office,West,Furniture,Chairs,81.424,2,-9.1602,2016-11,-0.11249999999999999
2016-11-06,LS-16975,Home Office,West,Furniture,Furnishings,238.56,3,26.2416,2016-11,0.10999999999999999
2017-02-02,DW-13585,Corporate,East,Technology,Phones,59.97,5,-11.994,2017-02,-0.2
2017-02-02,DW-13585,Corporate,East,Office Supplies,Paper,78.304,2,29.364,2017-02,0.375
2017-02-02,DW-13585,Corporate,East,Office Supplies,Fasteners,21.456,9,6.9732,2017-02,0.325
,LC-16885,Consumer,West,Office Supplies,Paper,20.04,3,9.6192,,0.48
,LC-16885,Consumer,West,Office Supplies,Paper,35.44,1,16.6568,,0.47000000000000003
,LC-16885,Consumer,West,Office Supplies,Art,11.52,4,3.456,,0.3
,LC-16885,Consumer,West,Office Supplies,Fasteners,4.02,2,1.9698,,0.49000000000000005
,LC-16885,Consumer,West,Office Supplies,Binders,76.176,3,26.6616,,0.35
,LC-16885,Consumer,West,Office Supplies,Supplies,65.88,6,18.4464,,0.28
,LC-16885,Consumer,West,Furniture,Furnishings,43.12,14,20.6976,,0.48000000000000004
2016-09-05,JD-15895,Corporate,East,Furniture,Furnishings,82.8,2,10.35,2016-09,0.125
,SH-19975,Corporate,West,Office Supplies,Art,8.82,3,2.3814,,0.27
,SH-19975,Corporate,West,Office Supplies,Envelopes,10.86,3,5.1042,,0.47
,SH-19975,Corporate,West,Office Supplies,Paper,143.7,3,68.976,,0.48000000000000004
,SG-20080,Consumer,Central,Office Supplies,Appliances,839.43,3,218.2518,,0.26
2015-09-07,HA-14920,Consumer,West,Office Supplies,Storage,671.93,7,20.1579,2015-09,0.030000000000000006
,MG-17680,Home Office,East,Furniture,Furnishings,93.888,4,12.9096,,0.13749999999999998
2016-12-05,JE-16165,Corporate,Central,Technology,Phones,384.45,11,103.8015,2016-12,0.27
2016-12-05,JE-16165,Corporate,Central,Technology,Phones,149.97,3,5.9988,2016-12,0.04
2016-12-05,JE-16165,Corporate,Central,Furniture,Chairs,1951.84,8,585.552,2016-12,0.30000000000000004
2016-12-05,JE-16165,Corporate,Central,Office Supplies,Binders,171.55,5,80.6285,2016-12,0.47
,TW-21025,Home Office,West,Office Supplies,Appliances,157.92,5,17.766,,0.1125
,TW-21025,Home Office,West,Technology,Phones,203.184,2,15.2388,,0.075
,SP-20650,Corporate,West,Office Supplies,Paper,58.38,7,26.271,,0.45
,SP-20650,Corporate,West,Office Supplies,Paper,105.52,4,48.5392,,0.46
,SP-20650,Corporate,West,Office Supplies,Storage,80.88,6,21.0288,,0.26
,NK-18490,Home Office,West,Office Supplies,Art,6.63,3,1.7901,,0.27
2014-03-01,DB-13060,Consumer,West,Furniture,Chairs,457.568,2,51.4764,2014-03,0.1125
,NP-18670,Consumer,Central,Office Supplies,Labels,14.62,2,6.8714,,0.47000000000000003
,NP-18670,Consumer,Central,Technology,Phones,944.93,7,236.2325,,0.25
2016-05-11,TT-21070,Consumer,West,Office Supplies,Paper,5.98,1,2.691,2016-05,0.44999999999999996
,EM-13960,Consumer,East,Technology,Accessories,54.384,2,1.3596,,0.024999999999999998
,RD-19900,Consumer,West,Office Supplies,Envelopes,28.4,5,13.348,,0.47000000000000003
2016-11-07,MJ-17740,Consumer,West,Office Supplies,Binders,27.68,2,9.688,2016-11,0.35000000000000003
2014-09-08,BM-11140,Consumer,Central,Office Supplies,Art,9.936,3,2.7324,2014-09,0.275
2014-09-08,BM-11140,Consumer,Central,Technology,Machines,8159.952,8,-1359.992,2014-09,-0.16666666666666666
2014-09-08,BM-11140,Consumer,Central,Office Supplies,Storage,275.928,3,-58.6347,2014-09,-0.21250000000000002
2014-09-08,BM-11140,Consumer,Central,Furniture,Chairs,1740.06,9,-24.858,2014-09,-0.014285714285714287
2014-09-08,BM-11140,Consumer,Central,Office Supplies,Art,32.064,6,6.8136,2014-09,0.2125
2014-09-08,BM-11140,Consumer,Central,Office Supplies,Appliances,177.98,5,-453.849,2014-09,-2.5500000000000003
2014-09-08,BM-11140,Consumer,Central,Technology,Phones,143.976,3,8.9985,2014-09,0.0625
2014-08-05,CS-12130,Consumer,West,Office Supplies,Paper,20.94,3,9.8418,2014-08,0.4699999999999999
2014-08-05,CS-12130,Consumer,West,Office Supplies,Paper,110.96,2,53.2608,2014-08,0.48000000000000004
2014-08-05,CS-12130,Consumer,West,Furniture,Chairs,340.144,7,21.259,2014-08,0.0625
,JB-15400,Corporate,Central,Office Supplies,Appliances,52.448,2,-131.12,,-2.5
,JB-15400,Corporate,Central,Office Supplies,Labels,20.16,4,6.552,,0.32499999999999996
,SJ-20500,Consumer,Central,Office Supplies,Appliances,97.264,4,-243.16,,-2.5
,JE-15745,Consumer,East,Furniture,Chairs,396.802,7,-11.3372,,-0.028571428571428567
,JE-15745,Consumer,East,Office Supplies,Supplies,15.88,5,-3.7715,,-0.2375
,JK-15640,Home Office,East,Office Supplies,Art,3.28,1,1.4104,,0.43000000000000005
2014-12-05,DK-13150,Corporate,Central,Office Supplies,Storage,24.816,2,1.8612,2014-12,0.075
2014-12-05,DK-13150,Corporate,Central,Technology,Accessories,408.744,7,76.6395,2014-12,0.18749999999999997
,RM-19675,Home Office,South,Technology,Phones,503.96,4,131.0296,,0.26
,RM-19675,Home Office,South,Technology,Phones,149.95,5,41.986,,0.28
,RM-19675,Home Office,South,Technology,Accessories,29.0,2,7.25,,0.25
,SK-19990,Consumer,East,Office Supplies,Binders,7.16,2,3.4368,,0.48
,FM-14290,Home Office,West,Technology,Accessories,176.8,8,22.984,,0.13
,AM-10360,Corporate,Central,Office Supplies,Storage,37.224,3,3.7224,,0.1
,AM-10360,Corporate,Central,Office Supplies,Paper,20.016,3,6.255,,0.3125
2015-10-12,MP-17470,Home Office,East,Furniture,Bookcases,899.136,4,112.392,2015-10,0.125
2015-10-12,MP-17470,Home Office,East,Technology,Phones,71.76,6,20.0928,2015-10,0.27999999999999997
2015-10-12,MP-17470,Home Office,East,Office Supplies,Paper,51.84,8,24.8832,2015-10,0.4799999999999999
2015-10-12,MP-17470,Home Office,East,Furniture,Bookcases,626.352,3,46.9764,2015-10,0.075
2015-10-12,MP-17470,Home Office,East,Office Supplies,Art,19.9,5,6.567,2015-10,0.33
,MZ-17515,Corporate,West,Office Supplies,Envelopes,14.28,7,6.7116,,0.47000000000000003
,CB-12025,Consumer,East,Office Supplies,Art,7.408,2,1.2038,,0.16249999999999998
,CB-12025,Consumer,East,Office Supplies,Art,6.048,3,1.5876,,0.26249999999999996
2017-11-06,VM-21685,Home Office,East,Office Supplies,Storage,46.26,3,12.0276,2017-11,0.26
2017-07-06,FH-14365,Corporate,East,Office Supplies,Binders,2.946,2,-2.2586,2017-07,-0.7666666666666666
2017-07-06,FH-14365,Corporate,East,Office Supplies,Paper,16.056,3,5.8203,2017-07,0.36249999999999993
,MB-17305,Consumer,East,Office Supplies,Paper,21.744,3,6.795,,0.3125
2014-08-03,BS-11755,Consumer,West,Furniture,Tables,218.75,2,-161.875,2014-08,-0.74
2014-08-03,BS-11755,Consumer,West,Office Supplies,Appliances,2.6,1,0.2925,2014-08,0.11249999999999999
,LC-17140,Consumer,Central,Office Supplies,Appliances,66.284,2,-178.9668,,-2.6999999999999997
2017-06-03,HK-14890,Corporate,South,Furniture,Furnishings,35.168,7,9.6712,2017-06,0.275
2017-12-09,LE-16810,Consumer,West,Technology,Phones,444.768,4,44.4768,2017-12,0.1
2017-12-01,JH-15985,Consumer,Central,Office Supplies,Storage,83.92,4,5.8744,2017-12,0.06999999999999999
2017-12-01,JH-15985,Consumer,Central,Technology,Phones,131.98,2,35.6346,2017-12,0.27
2017-12-01,JH-15985,Consumer,Central,Office Supplies,Binders,15.92,4,7.4824,2017-12,0.47000000000000003
2017-12-01,JH-15985,Consumer,Central,Office Supplies,Fasteners,52.29,9,16.2099,2017-12,0.31000000000000005
2017-12-01,JH-15985,Consumer,Central,Office Supplies,Storage,91.99,1,3.6796,2017-12,0.04000000000000001
2015-02-09,MS-17980,Corporate,Central,Technology,Accessories,20.8,2,6.5,2015-02,0.3125
2015-01-02,VW-21775,Corporate,East,Office Supplies,Labels,23.68,2,8.88,2015-01,0.37500000000000006
2015-01-02,VW-21775,Corporate,East,Furniture,Bookcases,452.45,5,-244.323,2015-01,-0.54
2015-01-02,VW-21775,Corporate,East,Technology,Phones,62.982,3,-14.6958,2015-01,-0.23333333333333334
2015-01-02,VW-21775,Corporate,East,Technology,Machines,1188.0,9,-950.4,2015-01,-0.7999999999999999
2015-01-02,VW-21775,Corporate,East,Technology,Accessories,89.584,2,4.4792,2015-01,0.049999999999999996
,JH-15910,Consumer,West,Office Supplies,Storage,93.06,6,26.0568,,0.27999999999999997
,JH-15910,Consumer,West,Technology,Phones,302.376,3,22.6782,,0.07500000000000001
,JB-15925,Consumer,East,Office Supplies,Fasteners,5.584,2,1.8148,,0.325
,JB-15925,Consumer,East,Office Supplies,Paper,22.704,6,8.2302,,0.3625
,JB-15925,Consumer,East,Office Supplies,Binders,19.776,4,-13.8432,,-0.7
,JB-15925,Consumer,East,Furniture,Furnishings,72.704,4,19.0848,,0.26250000000000007
,JB-15925,Consumer,East,Technology,Machines,479.988,4,-383.9904,,-0.8
,JB-15925,Consumer,East,Office Supplies,Art,27.168,2,2.7168,,0.1
2015-08-09,DS-13180,Corporate,Central,Office Supplies,Art,2.2,1,0.968,2015-08,0.43999999999999995
2015-08-09,DS-13180,Corporate,Central,Furniture,Tables,622.45,5,136.939,2015-08,0.21999999999999997
2015-08-09,DS-13180,Corporate,Central,Office Supplies,Storage,21.98,1,0.2198,2015-08,0.01
,VD-21670,Consumer,South,Furniture,Chairs,161.568,2,-28.2744,,-0.175
,VD-21670,Consumer,South,Furniture,Chairs,389.696,8,43.8408,,0.1125
,EA-14035,Corporate,South,Office Supplies,Binders,18.648,7,-12.432,,-0.6666666666666667
2017-04-07,CS-12400,Home Office,South,Furniture,Tables,233.86,2,-102.048,2017-04,-0.43636363636363634
2017-04-07,CS-12400,Home Office,South,Furniture,Tables,620.6145,3,-248.2458,2017-04,-0.39999999999999997
2017-04-07,CS-12400,Home Office,South,Office Supplies,Binders,5.328,2,-3.552,2017-04,-0.6666666666666666
2017-04-07,CS-12400,Home Office,South,Furniture,Furnishings,258.072,3,0.0,2017-04,0.0
2017-04-07,CS-12400,Home Office,South,Technology,Accessories,617.976,3,-7.7247,2017-04,-0.0125
2017-11-12,DB-13120,Corporate,West,Office Supplies,Paper,10.56,2,4.752,2017-11,0.44999999999999996
2016-06-04,KL-16645,Consumer,Central,Office Supplies,Paper,25.92,5,9.396,2016-06,0.3625
2016-06-04,KL-16645,Consumer,Central,Furniture,Furnishings,419.68,5,-356.728,2016-06,-0.85
2016-06-04,KL-16645,Consumer,Central,Furniture,Furnishings,11.688,3,-4.6752,2016-06,-0.4
2016-06-04,KL-16645,Consumer,Central,Technology,Phones,31.984,2,11.1944,2016-06,0.35
2016-06-04,KL-16645,Consumer,Central,Furniture,Tables,177.225,5,-120.513,2016-06,-0.68
2016-06-04,KL-16645,Consumer,Central,Furniture,Furnishings,4.044,3,-2.8308,2016-06,-0.7000000000000001
2016-06-04,KL-16645,Consumer,Central,Office Supplies,Art,7.408,2,1.2038,2016-06,0.16249999999999998
2014-06-01,DW-13480,Home Office,Central,Furniture,Chairs,2001.86,7,580.5394,2014-06,0.29000000000000004
2014-06-01,DW-13480,Home Office,Central,Office Supplies,Storage,166.72,2,41.68,2014-06,0.25
2014-06-01,DW-13480,Home Office,Central,Office Supplies,Paper,47.88,6,23.94,2014-06,0.5
2014-06-01,DW-13480,Home Office,Central,Office Supplies,Appliances,1503.25,5,496.0725,2014-06,0.33
2014-06-01,DW-13480,Home Office,Central,Office Supplies,Paper,25.92,4,12.4416,2014-06,0.4799999999999999
2016-12-10,LH-17155,Consumer,West,Furniture,Chairs,321.568,2,28.1372,2016-12,0.08750000000000001
2016-09-11,KC-16540,Consumer,West,Office Supplies,Paper,7.61,1,3.5767,2016-09,0.47000000000000003
2016-09-11,KC-16540,Consumer,West,Technology,Accessories,3347.37,13,636.0003,2016-09,0.19000000000000003
2016-12-10,DL-13315,Consumer,East,Office Supplies,Storage,80.58,6,22.5624,2016-12,0.28
2016-12-10,DL-13315,Consumer,East,Office Supplies,Envelopes,361.92,4,162.864,2016-12,0.45
,DR-12880,Corporate,Central,Furniture,Furnishings,12.132,9,-8.4924,,-0.7000000000000001
,DR-12880,Corporate,Central,Office Supplies,Storage,82.368,2,-19.5624,,-0.23750000000000002
,DR-12880,Corporate,Central,Office Supplies,Storage,53.92,5,4.044,,0.07499999999999998
,DR-12880,Corporate,Central,Technology,Phones,647.904,6,56.6916,,0.08750000000000001
2017-12-01,CC-12670,Consumer,East,Technology,Accessories,20.37,3,6.9258,2017-12,0.33999999999999997
2017-12-01,CC-12670,Consumer,East,Office Supplies,Storage,221.55,3,6.6465,2017-12,0.029999999999999995
2017-12-01,CC-12670,Consumer,East,Office Supplies,Binders,17.52,5,6.132,2017-12,0.35
2017-06-08,Dl-13600,Corporate,Central,Office Supplies,Appliances,1.624,2,-4.466,2017-06,-2.75
,SB-20290,Corporate,Central,Technology,Machines,3059.982,3,-509.997,,-0.16666666666666669
,SB-20290,Corporate,Central,Technology,Machines,2519.958,7,-251.9958,,-0.09999999999999999
2016-06-06,RC-19825,Consumer,Central,Technology,Phones,328.224,4,28.7196,2016-06,0.08750000000000001
2015-11-10,AH-10210,Consumer,West,Technology,Accessories,79.9,2,35.156,2015-11,0.43999999999999995
,CB-12535,Corporate,South,Office Supplies,Art,14.016,3,4.7304,,0.3375
,PG-18895,Consumer,East,Office Supplies,Fasteners,7.56,6,0.3024,,0.04
2017-12-09,CA-12310,Corporate,East,Office Supplies,Storage,37.208,1,-7.4416,2017-12,-0.2
2017-12-09,CA-12310,Corporate,East,Office Supplies,Envelopes,57.576,3,21.591,2017-12,0.375
,KH-16690,Corporate,West,Office Supplies,Storage,725.84,4,210.4936,,0.29
,HA-14920,Consumer,West,Technology,Accessories,209.93,7,92.3692,,0.44
,HA-14920,Consumer,West,Furniture,Furnishings,5.28,3,2.3232,,0.43999999999999995
,HA-14920,Consumer,West,Office Supplies,Binders,10.92,3,4.095,,0.375
,BB-10990,Corporate,West,Office Supplies,Paper,8.82,2,4.0572,,0.45999999999999996
,BB-10990,Corporate,West,Office Supplies,Art,5.98,1,1.5548,,0.25999999999999995
,AG-10495,Corporate,East,Office Supplies,Paper,11.648,2,4.0768,,0.35000000000000003
,AG-10495,Corporate,East,Office Supplies,Paper,18.176,4,5.9072,,0.325
,AG-10495,Corporate,East,Office Supplies,Storage,59.712,6,5.9712,,0.09999999999999999
,AG-10495,Corporate,East,Office Supplies,Labels,24.84,3,8.694,,0.35000000000000003
,SC-20725,Consumer,Central,Office Supplies,Binders,2.08,5,-3.432,,-1.65
,SC-20725,Consumer,Central,Technology,Phones,1114.4,7,376.11,,0.33749999999999997
2015-11-02,JO-15280,Consumer,West,Furniture,Tables,1038.84,5,51.942,2015-11,0.05
,TB-21520,Consumer,West,Office Supplies,Paper,141.76,5,47.844,,0.3375
,TB-21520,Consumer,West,Technology,Accessories,239.8,5,47.96,,0.19999999999999998
,TB-21520,Consumer,West,Office Supplies,Paper,31.104,6,10.8864,,0.35000000000000003
,AH-10195,Corporate,South,Office Supplies,Binders,254.058,7,-169.372,,-0.6666666666666667
,AH-10195,Corporate,South,Office Supplies,Appliances,194.528,2,24.316,,0.125
